    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 333    63.21      4.14952e+12      117        0.0200277              N/A     15.68s 45
 334    61.68          6756.95      117        0.0200277              N/A     11.73s 45
 335    61.28           552857      117        0.0200277              N/A     12.82s 45
 336    58.41       4.8454e+06      117        0.0200277              N/A      9.40s 45
 337    63.29      3.45873e+06      125        0.0200197              N/A     12.00s 46
 338    63.81          1348.01      125        0.0200197              N/A      9.22s 46
 339    62.31            20998      125        0.0200197              N/A      7.77s 43
 340    58.53          55899.9      125        0.0200197              N/A      8.13s 43
 341    60.42          23076.3      125        0.0200197              N/A      5.50s 43
 342    58.62          2935.21      125        0.0200197              N/A      5.75s 44
 343    63.15          5522.94      121         0.019836              N/A      5.10s 44
 344    61.56          21394.1      121         0.019836              N/A      3.88s 44
 345    60.26          6470.52      121         0.019836              N/A      3.57s 44
 346    59.54          26169.5      121         0.019836              N/A      2.49s 44
 347    59.33          1668.84      121         0.019836              N/A      1.71s 45
 348    62.06          5949.58      121         0.019836              N/A      0.81s 45
 349    60.89          2634.03      121         0.019836              N/A      0.00s 45
 350    58.80          18597.3      121         0.019836              N/A     46.50s 45
 351    60.12          12375.5      121         0.019836              N/A     36.07s 46
 352    60.77      8.77046e+06      121         0.019836              N/A     33.99s 47
 353    64.50          78978.1      121         0.019836              N/A     42.11s 47
 354    61.63          1548.06      121         0.019836              N/A     34.90s 47
 355    62.48            21597      121         0.019836              N/A     38.94s 48
 356    63.75           3989.2      121         0.019836              N/A     39.25s 48
 357    61.76          51714.2      121         0.019836              N/A     35.14s 48
 358    59.92          3072.89      121         0.019836              N/A     37.04s 48
 359    59.86          3434.78      121         0.019836              N/A     33.95s 48
 360    60.95           276425      121         0.019836              N/A     28.18s 47
 361    59.40           102617      121         0.019836              N/A     30.40s 47
 362    60.62          22062.2      121         0.019836              N/A     31.07s 47
 363    58.85          34322.7      121         0.019836              N/A     31.53s 47
 364    59.51       4.9783e+06      121         0.019836              N/A     35.11s 47
 365    59.65          2594.01      121         0.019836              N/A     25.62s 45
 366    57.98          2534.78      113        0.0198166              N/A     28.07s 46
 367    57.31      1.84072e+10      113        0.0198166              N/A     22.02s 46
 368    58.53          49678.6      113        0.0198166              N/A     29.45s 46
 369    56.45          17738.5      115        0.0197508              N/A     24.62s 47
 370    61.34           6283.4      115        0.0197508              N/A     20.38s 47
 371    60.04          19845.2      115        0.0197508              N/A     22.57s 47
 372    57.82          1305.54      115        0.0197508              N/A     18.45s 46
 373    60.15          1346.72      115        0.0197508              N/A     21.95s 46
 374    59.83          1465.65      115        0.0197508              N/A     18.64s 46
 375    60.54          7172.86      115        0.0197508              N/A     21.73s 46
 376    60.63      2.12866e+07      115        0.0197508              N/A     21.05s 46
 377    57.94          37143.2      115        0.0197508              N/A     17.34s 46
 378    60.00          44408.2      115        0.0197508              N/A     16.84s 46
 379    59.95      1.07874e+07      115        0.0197508              N/A     15.85s 47
 380    59.41          22299.6      115        0.0197508              N/A     16.49s 47
 381    59.03      1.57038e+07      115        0.0197508              N/A     13.91s 47
 382    58.93           771448      115        0.0197508              N/A     13.72s 48
 383    57.50      3.81296e+12      115        0.0197508              N/A     13.28s 48
 384    60.83           580421      115        0.0197508              N/A     12.16s 48
 385    62.90          27674.6      115        0.0197508              N/A      9.72s 48
 386    59.59      4.82771e+06      115        0.0197508              N/A     10.76s 48
 387    62.45          1328.11      115        0.0197508              N/A     11.23s 50
 388    62.69           5124.8      115        0.0197508              N/A      9.61s 49
 389    63.66            27268      115        0.0197508              N/A      8.41s 48
 390    62.27          32413.7      115        0.0197508              N/A      9.15s 48
 391    63.81           2946.2      109        0.0197162              N/A      6.31s 47
 392    59.77      4.81746e+06      109        0.0197162              N/A      6.63s 45
 393    59.42       3.4461e+07      109        0.0197162              N/A      4.72s 45
 394    58.52          10938.8      109        0.0197162              N/A      4.35s 45
 395    56.59            24658      109        0.0197162              N/A      3.27s 46
 396    57.95          13626.2      109        0.0197162              N/A      2.44s 46
 397    57.28           3836.6      109        0.0197162              N/A      1.73s 46
 398    58.69          2787.88      109        0.0197125              N/A      0.73s 45
 399    58.55          4344.38      109        0.0197125              N/A      0.00s 45
 400    57.22           2571.1      109        0.0197125              N/A     36.12s 45
 401    55.64           315568      109        0.0197095              N/A     46.19s 45
 402    55.54      4.80379e+06      109        0.0197095              N/A     38.74s 45
 403    59.10          3372.49      109        0.0197095              N/A     39.77s 45
 404    60.93          2967.53      109        0.0197095              N/A     36.28s 46
 405    59.70      4.63909e+06      109        0.0197095              N/A     34.93s 46
 406    60.30          9600.86      109        0.0197095              N/A     38.34s 46
 407    57.01      1.05147e+09      109        0.0197095              N/A     37.64s 46
 408    58.49          1430.92      111        0.0196429              N/A     34.98s 47
 409    59.59          13188.3      111        0.0196429              N/A     32.25s 46
 410    60.10           9700.8      111        0.0196429              N/A     34.16s 47
 411    60.15      5.61907e+07      111        0.0196429              N/A     31.78s 47
 412    58.09          26424.1      111        0.0196429              N/A     28.58s 48
 413    60.53          21979.1      111        0.0196429              N/A     30.93s 48
 414    61.74          2930.51      107        0.0195755              N/A     35.69s 47
 415    60.08          15560.7      107        0.0195755              N/A     29.02s 47
 416    59.58      4.72985e+08      107        0.0195755              N/A     28.41s 47
 417    57.89          25.0176      107        0.0195755              N/A     29.01s 48
 418    56.77          40181.6      107        0.0195755              N/A     26.83s 48
 419    60.13          32497.2      107        0.0195755              N/A     30.24s 49
 420    59.24          1344.84      107        0.0195755              N/A     25.15s 49
 421    56.98          42455.9      107        0.0195755              N/A     19.55s 49
 422    62.60           708568      107        0.0195755              N/A     21.90s 49
 423    59.85      1.61166e+07      107        0.0195755              N/A     21.73s 49
 424    58.30      7.88351e+08      107        0.0195755              N/A     21.98s 49
 425    58.93          22297.5      107        0.0195755              N/A     19.27s 49
 426    58.15           832112      107        0.0195755              N/A     18.58s 49
 427    59.75      5.60843e+06      107        0.0195755              N/A     19.00s 49
 428    59.17          43070.2      107        0.0195755              N/A     20.51s 50
 429    61.68          18848.5      107        0.0195755              N/A     16.23s 50
 430    59.50          5098.34      107        0.0195755              N/A     17.51s 50
 431    59.33          3851.99      107        0.0195755              N/A     15.31s 50
 432    64.52          20423.9      107        0.0195755              N/A     14.72s 50
 433    59.16          1272.99      107        0.0195755              N/A     12.57s 50
 434    59.70           5551.5      109        0.0195609              N/A     11.75s 51
 435    59.90          27486.3      109        0.0195609              N/A     13.59s 51
