    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 250    92.22         0.154607      113        0.0105208              N/A      1.88m
 251    93.66         0.122011      113        0.0105208              N/A      1.81m
 252    94.41         0.111272      107        0.0106137              N/A      2.06m
 253    90.34         0.179332      103        0.0108096              N/A      2.02m
 254    92.19         0.138554      107        0.0106137              N/A      1.80m
 255    94.39         0.115281      107        0.0106137              N/A      1.90m
 256    93.60        0.0913354      107        0.0106137              N/A      1.89m
 257    91.87         0.273614      107        0.0106137              N/A      2.06m
 258    92.33         0.102632      119        0.0103447              N/A      1.80m
 259    92.58         0.337564      119        0.0103447              N/A      1.82m
 260    92.03         0.109063       97        0.0105423              N/A      1.80m
 261    91.88         0.653867       97        0.0105423              N/A      2.04m
 262    94.35         0.135478      111        0.0101532              N/A      2.12m
 263    95.09         0.102053      107        0.0102129              N/A      2.27m
 264    94.49          25.1625      107        0.0102129              N/A      2.19m
 265    96.54        0.0665928       91       0.00988337              N/A      2.33m
 266    95.13        0.0715799       91       0.00988337              N/A      1.98m
 267    93.50        0.0933122       91       0.00988337              N/A      1.80m
 268    92.86         0.238334       91       0.00988337              N/A      1.84m
 269    92.06         0.526622       87       0.00957328              N/A      1.62m
 270    93.92         0.132252       99       0.00896008              N/A      1.90m
 271    91.60        0.0836536       99       0.00896008              N/A      1.65m
 272    88.61          0.21508       99       0.00896008              N/A      1.84m
 273    88.37          1.02338      109       0.00846441              N/A      1.78m
 274    92.02         0.283601      109       0.00846441              N/A      1.67m
 275    91.39         0.238505      109       0.00846441              N/A      1.79m
 276    89.28          1783.71      109       0.00846441              N/A      1.62m
 277    95.56         0.134772      109       0.00846441              N/A      1.54m
 278    93.95         0.090395      195       0.00827489              N/A      1.60m
 279    96.28         0.344488      119       0.00832042              N/A      1.65m
 280    97.73        0.0970426      119       0.00832042              N/A      1.68m
 281    99.40         0.247836      203       0.00803405              N/A      1.79m
 282    99.65          0.28784      113       0.00831466              N/A      1.91m
 283    98.04         0.110644      113       0.00831466              N/A      1.69m
 284    98.38         0.321592      109       0.00839764              N/A      1.67m
 285    97.58        0.0870772      109       0.00839764              N/A      1.67m
 286   100.40         0.208792      119       0.00832042              N/A      1.64m
 287    99.58         0.156911      109       0.00839764              N/A      1.69m
 288    96.17        0.0814376      105       0.00838084              N/A      1.62m
 289    98.99         0.241331      109       0.00839764              N/A      1.64m
 290    99.10          1.37252      105       0.00838084              N/A      1.84m
 291    95.44          0.21633      107       0.00843758              N/A      1.61m
 292    97.70         0.132352      107       0.00843758              N/A      1.70m
 293    93.37        0.0736668      101       0.00851408              N/A      1.45m
 294    96.36         0.121588      107       0.00833879              N/A      1.52m
 295    98.91          0.13255      107       0.00833879              N/A      1.51m
 296   100.39         0.291923      105       0.00838084              N/A      1.63m
 297    99.40         0.329651      103       0.00833879              N/A      1.74m
 298    95.31        0.0936848      109       0.00831466              N/A      1.40m
 299    99.19         0.125337      201       0.00819495              N/A      1.48m
 300   101.80         0.557704      109       0.00831466              N/A      1.49m
 301    99.38         0.161357      103       0.00833879              N/A      1.50m
 302   101.71         0.212829      103       0.00833879              N/A      1.54m
 303    99.30         0.104012      191        0.0082645              N/A      1.67m
 304   102.28          0.13425      103       0.00833879              N/A      1.51m
 305   100.84         0.500545      103       0.00829339              N/A      1.59m
 306   100.14        0.0938713      103       0.00829339              N/A      1.50m
 307    98.70         0.627447      103       0.00829339              N/A      1.76m
 308   100.88         0.114882      103       0.00829339              N/A      1.78m
 309   102.03         0.148005      103       0.00829339              N/A      1.55m
 310   102.13          1.30992      103       0.00829339              N/A      1.68m
 311    99.29         0.136899      103       0.00829339              N/A      1.62m
 312    99.29        0.0815728      107       0.00806275              N/A      1.53m
 313   104.09         0.153932      107       0.00806275              N/A      1.44m
 314   101.00         0.104522      107       0.00806275              N/A      1.52m
 315   102.58         0.096127      107       0.00806275              N/A      1.43m
 316   102.33         0.167634      107       0.00806275              N/A      1.33m
 317   104.34         0.116202      107       0.00806275              N/A      1.37m
 318   100.97         0.254972      107       0.00806275              N/A      1.38m
 319   102.16         0.115564      107       0.00806275              N/A      1.50m
 320   100.46         0.470964      107       0.00806275              N/A      1.61m
 321   104.57         0.174183      103       0.00805703              N/A      1.82m
 322   106.01         0.111343      103       0.00805703              N/A      1.40m
 323   104.11         0.093741      103       0.00805703              N/A      1.40m
 324   103.19         0.129158      113       0.00758801              N/A      1.40m
 325   103.17         0.128311      113       0.00758801              N/A      1.34m
 326   104.38         0.178481      113       0.00758801              N/A      1.51m
 327   104.03         0.104646      113       0.00758801              N/A      1.30m
 328   101.27         0.300524      113       0.00758801              N/A      1.29m
 329   104.70          0.39161      113       0.00758801              N/A      1.34m
 330   103.13         0.645163      113       0.00758801              N/A      1.42m
 331   106.09         0.115282      113       0.00758801              N/A      1.29m
 332   103.73         0.193868      113       0.00758801              N/A      1.26m
 333   107.64        0.0881664      113       0.00758801              N/A      1.32m
 334   106.72         0.124241      113       0.00758801              N/A      1.41m
 335   109.14         0.262082      113       0.00758801              N/A      1.42m
 336   105.77         0.203642      113       0.00758801              N/A      1.28m
 337   106.81         0.177504      113       0.00758801              N/A      1.42m
 338   104.91          0.15337      113       0.00758801              N/A      1.27m
 339   104.63         0.561037      113       0.00758801              N/A      1.21m
 340   108.24        0.0765356      113       0.00758801              N/A      1.27m
 341   110.41         0.125185      113       0.00758801              N/A      1.38m
 342   109.47         0.181003      113       0.00758801              N/A      1.22m
 343   110.74        0.0747056      113       0.00758801              N/A      1.35m
 344   108.39         0.296129      113       0.00758801              N/A      1.22m
 345   112.20         0.320977      113       0.00758801              N/A      1.29m
 346   111.75         0.136942      113       0.00758801              N/A      1.29m
 347   112.25          0.14911      113       0.00758801              N/A      1.32m
 348   106.23          3.12058      113       0.00758801              N/A      1.23m
 349   108.44         0.199813      113       0.00758694              N/A      1.23m
 350   109.40         0.109627      113       0.00758694              N/A      1.17m
 351   111.30          0.33562      113       0.00758801              N/A      1.16m
 352   106.41         0.362629      113       0.00758801              N/A      1.18m
 353   111.66          11.0347      113       0.00758801              N/A      1.17m
 354   112.60         0.267822      113       0.00758801              N/A      1.20m
 355   108.90         0.387769      113       0.00758801              N/A      1.25m
 356   109.71         0.108077      113       0.00758801              N/A      1.15m
 357   110.75         0.216862      113       0.00758801              N/A      1.25m
 358   109.29           1.2056      113       0.00758801              N/A      1.17m
 359   106.47         0.354072      113       0.00758801              N/A      1.15m
 360   108.88        0.0739024      113       0.00758801              N/A      1.16m
 361   103.22         0.197537      113       0.00758801              N/A      1.16m
 362   104.57         0.275196      113       0.00758801              N/A      1.15m
 363   103.52         0.110609      113       0.00758801              N/A      1.12m
 364   102.45         0.198479      109       0.00766606              N/A      1.18m
 365   105.39         0.159961      109       0.00766606              N/A      1.53m
 366    99.53         0.102619      109       0.00766606              N/A      1.27m
 367   103.69         0.173405      107       0.00781863              N/A      1.05m
 368   102.23        0.0899355      107       0.00781863              N/A      1.14m
 369   105.12          91.9242      205       0.00781583              N/A     59.78s
 370   104.37         0.118665      205       0.00781583              N/A      1.00m
 371   104.45         0.145965      107       0.00781863              N/A     59.52s
 372   101.00         0.477141      107       0.00781863              N/A     58.92s
 373   102.19        0.0921897      103       0.00782976              N/A     56.67s
 374   103.46        0.0744536      103       0.00782976              N/A     57.38s
 375   102.98           201149      103       0.00782976              N/A     55.44s
 376   100.81         0.152152      103       0.00782976              N/A      1.02m
 377   104.52         0.112179      103       0.00782976              N/A     57.07s
 378   102.73         0.234987      201       0.00781843              N/A     55.08s
 379    99.53         0.101514      107       0.00781863              N/A     54.55s
 380   102.00         0.239611      103       0.00782976              N/A     55.93s
 381   103.47         0.250787      205        0.0078288              N/A     54.36s
 382    99.86         0.164832      103       0.00782976              N/A     53.71s
 383    97.95        0.0989747      103       0.00782976              N/A     51.92s
 384   103.76         0.269814      105        0.0078174              N/A     53.01s
 385    99.99         0.127918      105        0.0078174              N/A     55.65s
 386   103.73         0.137229      107       0.00781863              N/A     51.15s
 387   102.67         0.247817      107       0.00781863              N/A     51.07s
 388   100.38         0.162684      107       0.00781863              N/A     49.68s
 389   101.57         0.100151      107       0.00781863              N/A     48.46s
 390   100.26         0.693015      107       0.00781863              N/A     49.25s
 391   100.50         0.220771      209       0.00781611              N/A     47.40s
 392   102.93          4.25953      199       0.00781204              N/A      1.01m
 393   101.21         0.262437      103       0.00782976              N/A     48.02s
 394   101.33         0.145641      103       0.00782976              N/A     47.49s
 395   102.54         0.165684      107       0.00781863              N/A     46.42s
 396   101.33         0.146836      107       0.00781863              N/A     52.60s
 397   101.87         0.198621      107       0.00781863              N/A     45.04s
 398   106.83         0.138558      107       0.00781863              N/A     45.61s
 399   101.31         0.210972      107       0.00781863              N/A     45.56s
 400   100.66         0.389828      103       0.00782976              N/A     43.79s
 401   103.37         0.223869      115       0.00781863              N/A     44.25s
 402   104.67         0.521057      111       0.00781863              N/A     48.40s
 403   101.06          0.21807      111       0.00781863              N/A     43.82s
 404   105.34        0.0831399      111       0.00775954              N/A     43.51s
 405   105.65         0.327504      111       0.00775954              N/A     42.51s
 406   103.60          0.21372      111       0.00775954              N/A     43.61s
 407   101.54         0.263869      111       0.00775954              N/A     41.87s
 408   104.69         0.456069      111       0.00775954              N/A     46.70s
 409   105.83         0.140557      111       0.00775954              N/A     42.21s
 410   103.94         0.187371      111       0.00778722              N/A     40.44s
 411   100.89         0.208028      107       0.00779589              N/A     42.83s
 412   102.64         0.142849      107       0.00781863              N/A     42.91s
 413   102.18          3.08359      103       0.00782976              N/A     43.21s
 414   101.00         0.261238      103       0.00782976              N/A     38.60s
 415   102.79         0.235499      103       0.00782976              N/A     38.28s
 416   103.06         0.151335      107       0.00781863              N/A     39.01s
 417   102.98          0.13544      209       0.00781606              N/A     38.38s
 418   101.43         0.174407      103       0.00782976              N/A     37.48s
 419   102.34         0.644462      103       0.00782976              N/A     40.12s
 420   101.78         0.313093      103       0.00782976              N/A     35.98s
 421    98.07         0.347494      107       0.00781863              N/A     40.13s
 422   104.89         0.118187      107       0.00781863              N/A     34.02s
 423   102.85         0.395059      103       0.00782976              N/A     34.87s
 424   103.36         0.179446      103       0.00782976              N/A     34.89s
 425   104.29          0.57283      107       0.00781863              N/A     33.96s
 426   103.67        0.0842419      107       0.00781863              N/A     35.99s
 427   105.17         0.635397      103       0.00782976              N/A     33.13s
 428   101.30         0.219483      103       0.00782976              N/A     33.21s
 429   100.44        0.0987688      103       0.00782976              N/A     32.17s
 430   102.88         0.492458      103       0.00782976              N/A     31.48s
 431   103.75         0.133862      103       0.00782976              N/A     33.49s
 432   105.04         0.116412      103       0.00782976              N/A     28.48s
 433   103.03         0.127443      103       0.00782976              N/A     29.10s
 434    98.20          0.10611      107       0.00781863              N/A     29.76s
 435   101.19           0.4644      103       0.00782976              N/A     27.91s
 436   102.90         0.218342      103       0.00782976              N/A     28.61s
 437   101.21         0.370428      103       0.00782976              N/A     31.63s
 438   102.21         0.224905      107       0.00781863              N/A     28.25s
 439   103.77         0.152974      103       0.00782976              N/A     27.64s
 440   101.93         0.126123      215       0.00782182              N/A     26.61s
 441   101.20         0.240495      215       0.00782182              N/A     26.43s
 442   104.52         0.111026      197       0.00781841              N/A     25.23s
 443   105.06          0.35027      211       0.00781538              N/A     27.67s
 444   102.19          0.18106      107       0.00781863              N/A     24.79s
 445   102.02          0.15456      107       0.00781863              N/A     24.60s
 446   104.95         0.355343      205       0.00781583              N/A     24.14s
 447   103.98         0.363013      107       0.00781863              N/A     23.71s
 448   101.48         0.186189      107       0.00781863              N/A     25.29s
 449   102.62         0.149421      197        0.0078155              N/A     22.33s
 450   101.18         0.335472      103       0.00782976              N/A     22.59s
 451   102.67         0.148805      103       0.00782976              N/A     21.51s
 452   102.71         0.109375      103       0.00782976              N/A     20.78s
 453   100.45         0.271396      107       0.00781863              N/A     21.00s
 454    99.93         0.274401      107       0.00781863              N/A     22.49s
 455   104.50         0.095093      107       0.00781863              N/A     20.33s
 456   106.01         0.112437      291       0.00779963              N/A     19.84s
 457   102.93         0.213265      103       0.00782976              N/A     19.54s
 458   102.36         0.249178      103       0.00782976              N/A     18.83s
 459   103.37         0.132662      103       0.00782976              N/A     19.86s
 460   101.08          0.18877      103       0.00782976              N/A     20.96s
 461   104.52          0.23006      103       0.00782976              N/A     17.28s
 462   102.69         0.170712      107       0.00781863              N/A     17.38s
 463   104.13         0.109127      103       0.00782976              N/A     16.48s
 464   103.02         0.103466      107       0.00781863              N/A     15.72s
 465   102.71         0.115193      103       0.00782976              N/A     15.65s
 466   102.16         0.127716      207       0.00782787              N/A     16.37s
