    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
 211 9.08e+00          852.911 9.00e+00        0.0526491              N/A     16.60s 0
 212 8.99e+00           147600 9.00e+00        0.0526491              N/A     14.51s 0
 213 9.27e+00          820.236 9.00e+00        0.0526491              N/A     13.98s 0
 214 9.16e+00           171754 9.00e+00        0.0526491              N/A     13.59s 0
 215 9.14e+00      5.06873e+07 9.00e+00        0.0526491              N/A     11.59s 0
 216 9.60e+00           203407 9.00e+00        0.0526491              N/A     10.36s 0
 217 9.27e+00            99935 9.00e+00        0.0526491              N/A      9.34s 0
 218 8.93e+00          372.137 9.00e+00        0.0526491              N/A      7.87s 0
 219 9.11e+00          97.2624 9.00e+00        0.0526491              N/A      6.34s 0
 220 9.17e+00          56.8366 9.00e+00        0.0526491              N/A      5.04s 0
 221 9.27e+00           190965 9.00e+00        0.0526491              N/A      3.82s 0
 222 9.23e+00          86.8098 9.00e+00        0.0526488              N/A      2.81s 0
 223 9.16e+00          86.2372 9.00e+00        0.0526488              N/A      1.31s 0
 224 9.24e+00          180.561 9.00e+00        0.0526488              N/A      0.00s 0
 225 9.18e+00          395.233 9.00e+00        0.0526488              N/A     30.84s 0
 226 8.90e+00          48.0624 9.00e+00        0.0526488              N/A     30.02s 0
 227 9.28e+00      1.15149e+07 1.70e+01        0.0525244              N/A     26.91s 0
 228 9.06e+00       7.9626e+09 9.00e+00        0.0526488              N/A     26.84s 0
 229 9.14e+00           189383 9.00e+00        0.0526488              N/A     25.74s 0
 230 8.90e+00          370.536 9.00e+00        0.0526488              N/A     23.94s 0
 231 9.04e+00      1.54931e+10 9.00e+00        0.0526488              N/A     22.77s 0
 232 9.10e+00          79.3361 9.00e+00        0.0526488              N/A     21.99s 0
 233 9.14e+00           190805 9.00e+00        0.0526488              N/A     20.38s 0
 234 8.95e+00          404.699 9.00e+00        0.0526488              N/A     19.18s 0
 235 9.24e+00           312779 9.00e+00        0.0526488              N/A     17.68s 0
 236 9.02e+00      1.21515e+06 9.00e+00        0.0526488              N/A     16.85s 0
 237 9.07e+00          70.4281 9.00e+00        0.0526488              N/A     15.19s 0
 238 8.99e+00           100342 9.00e+00        0.0526488              N/A     13.82s 0
 239 9.23e+00          788.903 9.00e+00        0.0526488              N/A     13.06s 0
 240 9.06e+00           272077 9.00e+00        0.0526488              N/A     11.19s 0
 241 8.82e+00          764.842 9.00e+00        0.0526488              N/A     10.32s 0
 242 9.20e+00           190801 9.00e+00        0.0526488              N/A      8.97s 0
 243 9.12e+00          632.556 9.00e+00        0.0526488              N/A      7.54s 0
 244 9.18e+00           103231 9.00e+00        0.0526488              N/A      6.34s 0
 245 9.09e+00          1880.18 9.00e+00        0.0526488              N/A      5.27s 0
 246 9.10e+00          415.985 9.00e+00        0.0526488              N/A      3.77s 0
 247 9.10e+00       6.3405e+06 9.00e+00        0.0526488              N/A      2.54s 0
 248 9.13e+00          660.775 9.00e+00        0.0526488              N/A      1.26s 0
 249 9.01e+00          69042.1 9.00e+00        0.0526488              N/A      0.00s 0





Time: 0h:5m:25s
####   Data for the best program   ####
Best Program: sub(0.795, div(0.795, mul(1.910, div(1.600, X2))))
Best Program Complexity: 9
Raw Fitness: 0.05264875907244431
Penalized Fitness: 0.05624875907244431
Estimator		Train-rmse: 0.05264875907244431	Test-rmse: 0.0548212377405156	Test-R^2: 0.6817140721942402

{'complexity': 'length', 'const_range': (1e-10, 2.0), 'elitism_size': 1, 'function_set': ('add', 'sub', 'div', 'mul'), 'generations': 250, 'init_depth': (3, 6), 'init_method': 'half and half', 'low_memory': True, 'max_samples': 1.0, 'metric': 'rmse', 'n_jobs': 4, 'p_crossover': 0.8, 'p_hoist_mutation': 0.0, 'p_point_mutation': 0.05, 'p_point_replace': 0.05, 'p_subtree_mutation': 0.05, 'paretogp': False, 'paretogp_lengths': (5, 130), 'parsimony_coefficient': 0.0004, 'population_size': 800, 'random_state': 631909632, 'selection': 'tournament', 'stopping_criteria': None, 'tournament_size': 11, 'verbose': 1, 'warm_start': True}
